Seed,Feature_Type,Label,Train_Loss,Train_Accuracy,Train_ROC_AUC,Test_Loss,Test_Accuracy,Test_ROC_AUC,Weight_Norm,Cosine_Sim_Input_Error,Cosine_Sim_Input_Combined,Cosine_Sim_Error_Combined,Top_k_Indices
33,sae_acts_post,target,0.015506626211492368,1.0,1.0,1.844957883930308,0.706,0.7509834712081722,4.4771904945373535,,,,
33,sae_acts_and_error,target,0.0117359370990462,1.0,1.0,1.3050448106277313,0.724,0.7757199980573408,2.961965799331665,0.5128244757652283,0.5135684013366699,0.9993035793304443,"[15077, 3935, 10744]"
34,sae_input,target,0.007702725447260696,1.0,1.0,2.0035904795243913,0.672,0.7193075089201427,2.46671462059021,0.520598828792572,0.5208632946014404,0.9994772672653198,
34,sae_diff,target,0.010868293899920172,1.0,1.0,1.5386627778702875,0.702,0.7372757964127425,2.8776824474334717,0.520598828792572,0.5208632946014404,0.9994772672653198,
34,sae_acts_post,target,0.015514911760866848,1.0,1.0,2.05887914450243,0.68,0.7301076817229075,4.500588893890381,,,,
34,sae_acts_and_error,target,0.010859382624370216,1.0,1.0,1.5315561235049908,0.698,0.738859821757148,2.8766543865203857,0.520598828792572,0.5208632946014404,0.9994772672653198,"[690, 10851, 7985]"
35,sae_input,target,0.007690357034454236,1.0,1.0,1.8761724604330092,0.714,0.7419117175988212,2.4652295112609863,0.542691171169281,0.5436009764671326,0.9983654022216797,
35,sae_diff,target,0.01037092443902285,1.0,1.0,1.5719561929657784,0.646,0.7145717214427574,2.8358991146087646,0.542691171169281,0.5436009764671326,0.9983654022216797,
35,sae_acts_post,target,0.015196186698305357,1.0,1.0,1.9454162896165927,0.668,0.7131462617720546,4.427191734313965,,,,
35,sae_acts_and_error,target,0.010342069152927054,1.0,1.0,1.588514140642468,0.654,0.7130661797680825,2.832550525665283,0.542691171169281,0.5436009764671326,0.9983654022216797,"[15935, 9973, 14788]"
36,sae_input,target,0.008106827794574703,1.0,1.0,1.7343739925213342,0.718,0.7592503680942323,2.5202436447143555,0.5027371644973755,0.5052446126937866,0.9982108473777771,
36,sae_diff,target,0.011264643123137238,1.0,1.0,1.4380178093025564,0.686,0.7398534024710326,2.9272961616516113,0.5027371644973755,0.5052446126937866,0.9982108473777771,
36,sae_acts_post,target,0.01562789231365875,1.0,1.0,1.9038499526733486,0.688,0.7271141412201524,4.639708995819092,,,,
36,sae_acts_and_error,target,0.011192737117201392,1.0,1.0,1.4286934418975203,0.686,0.7418219064080405,2.921339273452759,0.5027371644973755,0.5052446126937866,0.9982108473777771,"[13716, 12330, 2681]"
37,sae_input,target,0.008034408940196478,1.0,1.0,1.8722373694539702,0.72,0.7516708437761069,2.503009796142578,0.5221242308616638,0.5243589878082275,0.99834805727005,
37,sae_diff,target,0.0116448180734712,1.0,1.0,1.404632624184066,0.702,0.747606194974616,2.9455971717834473,0.5221242308616638,0.5243589878082275,0.99834805727005,
37,sae_acts_post,target,0.01533947092318942,1.0,0.9999999999999999,1.7432155613085343,0.698,0.7268973716342136,4.438673973083496,,,,
37,sae_acts_and_error,target,0.011668508226850753,1.0,1.0,1.3962679268058769,0.698,0.7490039200565517,2.9478845596313477,0.5221242308616638,0.5243589878082275,0.99834805727005,"[14132, 15901, 9850]"
38,sae_input,target,0.007507176580552815,1.0,1.0,1.523208423551674,0.746,0.8018914723720214,2.457908868789673,0.5245252847671509,0.5258454084396362,0.9993201494216919,
38,sae_diff,target,0.011104668927333222,1.0,1.0,1.3734997345426871,0.7,0.756188891200333,2.9101035594940186,0.5245252847671509,0.5258454084396362,0.9993201494216919,
38,sae_acts_post,target,0.01505632351385147,1.0,1.0,1.5420847991481132,0.678,0.747355619209166,4.317407131195068,,,,
38,sae_acts_and_error,target,0.011075999138850797,1.0,1.0,1.3763082666947575,0.69,0.7547486838104688,2.9078383445739746,0.5245252847671509,0.5258454084396362,0.9993201494216919,"[6426, 13716, 2003]"
39,sae_input,target,0.008150557981157089,1.0,1.0,1.5966587342924548,0.744,0.7764312243852459,2.5240824222564697,0.5169790387153625,0.5180724859237671,0.9993937611579895,
39,sae_diff,target,0.011467955596748645,1.0,1.0,1.4169774953198817,0.688,0.7421714907786885,2.932955741882324,0.5169790387153625,0.5180724859237671,0.9993937611579895,
39,sae_acts_post,target,0.01568265378477969,1.0,1.0,1.6183643041656706,0.732,0.7612945056352458,4.547584056854248,,,,
39,sae_acts_and_error,target,0.01145757472312879,1.0,1.0,1.4239193430257258,0.694,0.7410988729508197,2.9319138526916504,0.5169790387153625,0.5180724859237671,0.9993937611579895,"[13716, 4810, 3672]"
40,sae_input,target,0.008031723215092771,1.0,0.9999999999999999,1.6406009231892258,0.716,0.7646643902595425,2.5046329498291016,0.527076005935669,0.5267842411994934,0.9992087483406067,
